列1,列2,列3,列4,列5,列6,列7,列8,列9
高温超导体的太赫兹非线性光学研究,董涛 北京大学,2022-09-20 10:00-2022-09-20 11:00,理科楼C302,清华大学,https://iiis.tsinghua.edu.cn/show-9750-1.html,2022-09-20 10:00-2022-09-20 11:00,利用强场太赫兹三次谐波（THG）对超导序参量集体激发（Higgs）模式的探测逐渐发展为研究超导电性新的测量手段。 在此次报告中我将首先介绍强场太赫兹的产生以及在常规超导体中对超导序参量集体激发模式的探测，随后介绍我们在铜基超导体YBCO薄膜中的工作。在最佳掺杂样品中我们观测到：1）在超导转变温度Tc以上THG信号依然存在，一直延续到赝能隙温度T*附近；2）在超导温度以下存在两个不同产生三次谐波的通道，超导温度以下出现的THG中心频率低于高温所产生的信号，同时两个信号发生干涉，进而导致THG在频谱上出现劈裂。通过温度依赖，偏振依赖以及考虑屏蔽效应之后，我们认为超导转变温度以下的三次谐波信号由超导体的Higgs模式所贡献。赝能隙态所贡献的THG在超导态依然存在表明我们的实验结果不支持赝能隙态存在预配对的图像。通过比对电子型超导体（LCCO），NbSe2和不同氮空位NbN 的THG信号，我们将讨论赝能隙态THG信号的可能起源。,董涛，2014年1月在中国科学院物理研究所获博士学位，随后留所工作。2015年1月调入北京大学量子材料中心，历任助理研究员，副研究员。曾在德国Mainz大学开展博士后研究（Humboldt Fellowship）。主要研究方向为利用光谱学技术（红外光谱，太赫兹光谱和非线性光谱学）对关联电子材料的量子物态进行探测和超快调控。
理学院科学之美讲坛：从记录片“天空之河”探索声波增雨的机理、装置及实验,王光谦 清华大学,2022-09-15 16:00-2022-09-15 17:00,理科楼郑裕彤讲堂,清华大学,https://iiis.tsinghua.edu.cn/show-9743-1.html,2022-09-15 16:00-2022-09-15 17:00,8月8日CCTV9频道晚上9点播放了记录片“天空之河”，科普了巴西的亚马逊河及其之上的天空之河，探索了地球水圈与生物圈的息息关系。清华大学和青海大学团队也在探索黄河与天空之河的关系。本讲座介绍用声波增雨，调控天地水的初步研究进展。,"王光谦院士，清华大学水利系教授，清华大学副校长。主要研究方向为水沙科学与江河治理，在黄河断流、悬河决口、水土流失、地震堰塞湖排险等工作中，解决了关键科学技术难题，并出版专著多部。曾获国家科技进步一等奖、二等奖，2009年当选中国科学院院士。曾任水沙科学与水利水电工程国家重点实验室主任，基金委工材学部主任, 青海大学校长。担任第九届全国政协委员，第十、十一、十二、十三届全国政协常委。"
The Age of Discovery with JWST: Excavating the First Massive Black Holes and First Galaxies,Kohei Inayoshi Peking University,2022-09-15 14:00-2022-09-15 15:00,S727 + Zoom Meeting （ID：952-5133-2314  password：202209),清华大学,https://iiis.tsinghua.edu.cn/show-9740-1.html,2022-09-15 14:00-2022-09-15 15:00,"The James Webb Space Telescope (JWST) is opening a new window of the most distant universe and will unveil the early growth of supermassive black holes (BHs) in the first galaxies.The existence of supermassive massive BHs observed when the universe was younger than one billion years strongly constrains their formation pathway and provides a crucial hint to understand the coevolution between BHs and galaxies. In this talk, I will review the physical mechanisms that promote rapid assembly and growth of seed BHs in early protogalaxies, and discuss how JWST will probe the earliest structure formation in the near future.","Before joining Peking University, Kavli Institute for Astronomy and Astrophysics in 2018 fall, Dr. Inayoshi spent 4 years at Columbia University in the US as a Junior Simons Fellow. He received his Ph.D. in physics from Kyoto University, Japan, in 2014. He is interested in a variety of topics on the physics of black holes, including gas accretion physics, formation of supermassive black holes, and multi-frequency gravitational wave astronomy.Dr. Inayoshi was awarded the ""Young Astronomer Prize of 2021"" from the Astronomical Society of Japan for his research on “theoretical studies for the formation and evolution of massive black holes”."
石墨烯中新奇量子物态的构筑、探测与调控,何林 北京师范大学,2022-09-14 16:00-2022-09-14 17:00,清华大学高等研究院（科学馆）104报告厅,清华大学,https://iiis.tsinghua.edu.cn/show-9734-1.html,2022-09-14 16:00-2022-09-14 17:00,基于石墨烯这一单原子层材料，我们构建了单原子空位缺陷、量子点、和平带等模型体系，调控并探测了这些体系中的新奇量子物态。主要完成的工作包括：1）对石墨烯中单原子缺陷的局域自旋和（子格、谷）赝自旋实现调控与探测；2）在石墨烯量子点中实现了谷极化量子态、谷极化的磁受限、相对论性分子轨道态和原子塌缩态等，发展了在纳米尺度测量材料简并度的方法；3）通过转角、赝磁场、磁场等多种方法引入平带，测量了这些平带中强关联导致的量子霍尔铁磁态、轨道磁性态等。,"2009年7月于北京大学物理学院获得博士学位，博士毕业后一直在北京师范大学物理学系工作, 现为教授，博士生导师，共发表了150余篇SCI论文，过去十年作为通讯作者发表了15篇PRL，4篇Nature Commun.，50余篇PRB等。何林专注于在石墨烯中构建单原子空位缺陷、量子点、和平带等模型体系，调控并探测其中的新奇量子物态，在单原子极限下研究了缺陷对材料电学和磁学性质影响、系统研究了受限狄拉克费米子性质、发展了多种方法引入平带并探测了其中的关联量子物态，部分工作入选了本领域重要教材。"
Engineering entanglement with silicon photonic chips,Jianwei Wang Peking University,2022-08-31 19:15-2022-08-31 20:15,"MMW S327 + Tencent Meeting (ID: 419-413-213, password: 1984)",清华大学,https://iiis.tsinghua.edu.cn/show-9721-1.html,2022-08-31 19:15-2022-08-31 20:15,"On-chip generating, controlling, storing and detecting quantum states of light with integrated photonic circuits provides the way to realizing complex quantum technologies for applications in the fields of quantum computation, simulation and communication. In this talk we present recent progress in large-scale integrated photonic circuit for quantum information processing. We will discuss several silicon-photonic quantum devices that is able to generate, manipulate and analyze various entanglement structures, e.g., multidimensional entanglement, multiphoton entanglement, and topologically protected entanglement. Several state-of-the-art large-scale programmable quantum photonic chips will be introduced, for the study of quantum coherence, generation of entanglement, and quantum computing. We will then show the demonstrations of several quantum computing models and algorithms, including Gaussian quantum Boson sampling, quantum simulation of physical and chemical systems, linear combinations of unitarian for quantum information processing, and cluster-state quantum computing. These results show silicon-integrated quantum photonics as a route towards large-scale quantum information processing, pointing the way to applications in fundamental science and quantum technologies.","Dr. Jianwei Wang is an Assistant Processor in the Physics of Peking University. He obtained his PHD in the University of Bristol in 2016. His group focuses on quantum information science and technologies with integrated optics. The group is developing large-scale integrated quantum photonic devices for applications in the fields of quantum computations, quantum simulations and quantum communications, as well as for the understanding of fundamental respects of quantum physics. He is also interested in developing hybrid quantum technologies of integrated optics, trapped ions, atoms, and superconducting systems. He has published more than 30 peer-reviewed papers in Science, Nature Physics, Nature Photonics, Nature Review Physics, Nature Communications, Science Advances, Physical Review Letters, and Optica."
Order parameter steering by light,Zhiyuan Sun Tsinghua University,2022-08-31 16:00-2022-08-31 17:00,"Conference Hall 104, Science Building, Tsinghua University",清华大学,https://iiis.tsinghua.edu.cn/show-9724-1.html,2022-08-31 16:00-2022-08-31 17:00,"An emerging subject in nonequilibrium physics is “order parameter steering” where experimentally controllable perturbations (e.g., light pulses) may drive the order parameters of symmetry broken phases to evolve in time. I will theoretically demonstrate this phenomenon in two cases: mean field steering and fluctuation steering. In the first case, we show that in excitonic insulators with s-wave electron-hole pairing, an applied light pulse can induce a p-wave component to the order parameter, and further drive it to rotate in the s+ip plane. In one dimension, each cycle of rotation pumps exactly two electrons across the sample while higher dimensional systems are similar, realizing a Thouless charge pump as a collective manybody effect. In the second case, we study the dynamics of a competing order system which is rapidly heated up by a pump and then cools down. In the cooling process, exponentially growing thermal fluctuations lead the system into the phase associated with the faster-relaxing order parameter, which is not necessarily the ground state. This theory offers a natural explanation for the widespread experimental observation that metastable states may be induced by laser pulses. References: PRL 126, 027601 (2021), PRX 10, 021028 (2020)",None
"Three Facets of Understanding Pre-training: Loss, Inductive Bias, and Implicit Bias",Tengyu Ma Stanford University,2022-08-29 14:30-2022-08-29 15:30,FIT 1-315 +Tencent Meeting （ID: 827-635-732）,清华大学,https://iiis.tsinghua.edu.cn/show-9719-1.html,2022-08-29 14:30-2022-08-29 15:30,"AI is undergoing a paradigm shift with the rise of models pre-trained with self-supervisions and then adapted to a wide range of downstream tasks. However, their working largely remains a mystery; classical learning theory cannot explain why pre-training on an unsupervised task can help many different downstream tasks. This talk will first investigate the role of pre-training losses in extracting meaningful structural information from unlabeled data, especially in the infinite data regime. Concretely, I will show that the contrastive loss can give rise to embeddings whose Euclidean distance captures the manifold distance between raw data (or, more generally, the graph distance of a so-called positive-pair graph). Moreover, directions in the embedding space correspond to relationships between clusters in the positive-pair graph. Then, I will discuss two other elements that seem necessary for a sharp explanation of the behavior of practical pre-trained models:  inductive bias of architectures and implicit bias of optimizers. I will introduce two recent, ongoing projects, where we (1) strengthen the previous theoretical framework by incorporating the inductive bias of architectures and (2) demonstrate the implicit bias of optimizers in pre-training, even with infinite pre-training data, empirically and theoretically.","Tengyu Ma is an assistant professor of Computer Science and Statistics at Stanford University. He received his Ph.D. from Princeton University and B.E. from Tsinghua University. His research interests include topics in machine learning and algorithms, such as deep learning and its theory, non-convex optimization, deep reinforcement learning, representation learning, and high-dimensional statistics. He is a recipient of the ACM Doctoral Dissertation Award Honorable Mention, the Sloan Fellowship, and NSF CAREER Award."
Probing the subatomic world using photon and electron scatterings,Xiaqing Li  MIT,2022-08-18 15:45-2022-08-18 16:45,理科楼B315,清华大学,https://iiis.tsinghua.edu.cn/show-9709-1.html,2022-08-18 15:45-2022-08-18 16:45,"Photon and lepton scatterings from the nucleon and nuclei provide snapshots to their structure. A major goal of nuclear physics is to quantitively and comprehensively understand the internal dynamics of the nucleon and nuclei described by Quantum Chromodynamics. Compton scattering is a powerful tool to measure the electromagnetic polarizabilities which are fundamental structure quantities characterizing the response of the nucleon to an external electromagnetic field. At higher energies, deep inelastic scattering of electrons enables the 3D imaging of the nucleon in terms of quarks and gluons. In this talk, I will present different experimental approaches to study the nucleon structure using photon and electron scatterings from nucleon and light nuclei targets.","Dr. Xiaqing Li received her B.S. degree in physics from Shandong University in 2014 and Ph.D. in physics from Duke University in 2020. She then joined the Hadronic Physics Group at MIT in 2021 as a Postdoctoral Associate. Her research interests focus on experimental studies of nucleon spin structures, polarized He-3 techniques, and nucleon polarizabilities."
Large-N theory of critical Fermi surface and strange metal,Haoyu Guo Harvard University,2022-08-18 15:00-2022-08-18 16:00,"Conference Hall 104, Science Building, Tsinghua University",清华大学,https://iiis.tsinghua.edu.cn/show-9706-1.html,2022-08-18 15:00-2022-08-18 16:00,"We describe the large N saddle point, and the structure of fluctuations about the saddle point, of a theory containing a sharp, critical Fermi surface in twospatial dimensions. The theory describes the onset of Ising order in a Fermi liquid, and closely related theories apply to other cases with critical Fermi surfaces. Inspired by SYK models, we employ random couplings in flavorspace between the fermions and the bosonic order parameter, but there is no spatial randomness: consequently, the G-Σ path integral of the theory is expressed in terms of fields bilocal in spacetime. We show by transport calculations that this first theory realizes a non-Fermi liquid but not a strange metal due to various cancellations related to momentum conservation. Next, we consider a theory with spatiallyrandom disorder, and demonstratethat it realizes a marginal Fermi liquid but not a strange metal. Finally, we propose that a strange metal can be realized by a theory with spatially random Yukawa interactions.",None
Random Matrix Methods for Machine Learning: “Lossless” Compression of Large Neural Networks,Zhenyu Liao 华中科技大学,2022-08-18 10:30-2022-08-18 11:30,FIT 1-202 + Tencent Meeting（ID：102-737-367）,清华大学,https://iiis.tsinghua.edu.cn/show-9711-1.html,2022-08-18 10:30-2022-08-18 11:30,"The advent of the Big Data era has triggered a renewed interest in large-dimensional machine learning (ML) and (deep) neural networks. These methods, being developed from small-dimensional intuitions, often behave dramatically different from their original designs and tend to be inefficient on large-dimensional datasets. By assuming both dimension and size of the datasets to be large, recent advances in random matrix theory (RMT) provide novel insights, allowing for a renewed understanding and the possibility to design more efficient machine learning approaches, thereby opening the door to completely new paradigms.
In this talk, we will start with the “curse of dimensionality” phenomenon in high dimensions, and highlight many counterintuitive phenomena in ML that arise when large-dimensional data are considered. By focusing on the use case of neural network compression, and by considering the data dimension and/or the ML systems to be large, we discuss how RMT is able to provide a renewed understanding of modern ML.","Zhenyu Liao received his M.Sc. in Signal and Image Processing in 2016, and his Ph.D. in Computer Science in 2019, both from University of Paris-Saclay, France. In 2020 he was a postdoctoral researcher with the Department of Statistics, University of California, Berkeley. He is currently an associated professor with the School of Electronic Information and Communications, Huazhong University of Science and Technology (HUST), China. His research interests are broadly in machine learning, signal processing, random matrix theory, and high-dimensional statistics. He published more than 20 papers on top-tier machine learning conferences such as ICML, NeurIPS, ICLR, COLT, AISTATS, etc., and he co-authored the book “Random Matrix Methods for Machine Learning.” He is the recipient of the 2021 Wuhan Youth Talent Fellowship, the 2021 East Lake Youth Talent Program Fellowship of HUST, the 2019 ED STIC Ph.D. Student Award, and the 2016 Supélec Foundation Ph.D. Fellowship of University of Paris-Saclay, France."
A general quantum algorithm for simulating open quantum dynamics,Zixuan Hu Purdue University,2022-08-17 20:00-2022-08-17 21:00,"MMW S727 + Tencent Meeting (ID: 419-413-213, password: 1984)",清华大学,https://iiis.tsinghua.edu.cn/show-9695-1.html,2022-08-17 20:00-2022-08-17 21:00,"Open quantum dynamics describes the time evolution of a system interacting with an environment and has important applications in physical chemistry, materials science, applied physics, etc. Despite its importance, there are relatively few developments of quantum algorithms for simulating open quantum dynamics, and a main challenge is to design a general quantum algorithm for physical models beyond the 2-level system and Markovian systems. To this end, we present such a general quantum algorithm based on the mathematical theory of unitary dilation. Initially demonstrated with a 2-level Markovian system (Scientific Reports, 10, 3301, (2020)), this algorithm was then applied to a non-Markovian system (Physical Review Research 3, 013182, (2021)) – both simulations were implemented on the IBM quantum computers. Recently, this quantum algorithm was generalized to simulating the dynamics of the Fenna-Matthews-Olson (FMO) complex on the IBM quantum simulator (Quantum 6, 726, (2022)), which is so far as we know the first successful application of a quantum algorithm on such a complex biological system. We discuss the complexity of the quantum algorithm relative to the classical method for the same purpose, presenting a decisive query complexity advantage of the quantum approach based on the unique property of quantum measurement.","2016-2022: Postdoctoral researcher (博士后), Purdue University (普渡大学), advisor (导师): Prof. Sabre Kais.
2015-2016: Postdoctoral researcher (博士后), University of California at San Diego (加州大学圣迭戈分校), advisor (导师): Prof. Joel Yuen-Zhou.
2013-2015: Postdoctoral researcher (博士后), Northwestern University (西北大学), advisors (导师): Prof. Mark A. Ratner and Prof. Tamar Seideman.
2013: Ph.D. in Theoretical Chemistry (理论化学博士学位)
2007-2013: graduate student (博士生), Northwestern University (西北大学), advisors (导师): Prof. Mark A. Ratner and Prof. Tamar Seideman. 
2007: B.Sc. in Chemistry (major) and Mathematics (minor) (理学士: 化学主修/数学辅修).
2004-2007: undergraduate student (本科生), University of Hong Kong (香港大学)."
Resonant thermal Hall effect of phonons coupled to dynamical defects,Haoyu Guo Harvard University,2022-08-16 15:00-2022-08-16 16:00,"Conference Hall 104, Science Building, Tsinghua University",清华大学,https://iiis.tsinghua.edu.cn/show-9705-1.html,2022-08-16 15:00-2022-08-16 16:00,"Recent thermal transport measurements in various materialsincluding pseudogap cuprates have observed large thermal Hall effects which are attributed to phonons. In this talk, I will review some recent experiments and propose a theory of phonon thermal Hall effect based on resonant scattering of phonons off dynamical defects. Using a microscopic formulation based on the Kubo formula, we find that the leading contribution perturbative in the phonon-defect coupling is proportional to the phonon lifetime. This contribution is at resonance when the phonon energy equals a defect level spacing. Our results are obtained for different defect models, and include a model of an impurity quantum spin in the presence of quasi-static magnetic order with an isotropic Zeeman coupling to the applied field, which we propose applies to the cuprate pseudogap regime.",None
Digital quantum simulation of Floquet symmetry-protected topological phases,Wenjie Jiang Tsinghua University,2022-08-03 09:00-2022-08-03 10:00,"MMW S327 + Tencent Meeting (ID: 419-413-213, password: 1984)",清华大学,https://iiis.tsinghua.edu.cn/show-9693-1.html,2022-08-03 09:00-2022-08-03 10:00,"Quantum many-body systems away from equilibrium host a rich variety of exotic phenomena that are forbidden by equilibrium thermodynamics. A prominent example is that of discrete time crystals, in which time-translational symmetry is spontaneously broken in periodically driven systems. Here we report the observation of a distinct type of non-equilibrium state of matter, Floquet symmetry-protected topological phases, which are implemented through digital quantum simulation with an array of programmable superconducting qubits.","Wenjie Jiang is a PhD candidate in IIIS, Tsinghua university, under the supervision of Prof. Dong-Ling Deng. His major research interests include quantum machine learning and quantum information."
基于受激亏蚀的凝聚相复杂分子的激发态过程探测与调控,夏安东  北京邮电大学,2022-07-27 10:00-2022-07-27 11:00,理科楼C302,清华大学,https://iiis.tsinghua.edu.cn/show-9691-1.html,2022-07-27 10:00-2022-07-27 11:00,主要介绍我们课题组近年来自行研制发展的多种飞秒时间分辨光谱技术（时间分辨荧光亏蚀光谱、飞秒时间分辨瞬态吸收、飞秒时间分辨受激Raman光谱等）的原理和方法。介绍利用这些新型时间分辨激光光谱技术在凝聚相复杂分子的激发态电荷转移和溶剂化动力学研究方面的初步研究结果，特别关注激发态“暗态”及其动力学过程的探测，阐述溶剂化过程对激发态分子对称性破缺、电子和能量转移过程影响的机理等。,"夏安东，中国科学院“百人计划”和国家级人才基金获得者。1987年毕业于南京师范大学物理系，1990年获得中国科学院长春物理所固体物理专业硕士学位，1993年获得中科院感光化学所有机化学专业博士学位。1993年-2001年，先后在中国科技大学国家同步辐射实验室、日本理化所（RIKEN）、韩国国家标准科学研究院和耶鲁大学神经生物学系从事博士后或访问研究；2001-2020年为中国科学院化学研究所研究员；2020年9月为北京邮电大学理学院教授。
主要从事“溶剂化科学”研究。通过自行研制和搭建各种稳态和瞬态时间分辨光谱的方法，研究凝聚相有机p－共轭分子、生物大分子、纳米团簇、离子液体以及水等体系的溶剂化、能量转移和电荷转移、以及分子结构变化相关的化学反应动力学等过程。在J. Am. Chem. Soc，Angew Chem，J. Phys. Chem. A/B/C，J. Chem. Phys.和 PhysChemChemPhys等国际知名期刊上正式发表SCI收录论文100多篇。获得仪器研制发明专利3项。主持或者参加国家自然科学基金重点基金和仪器研制、科技部973计划和中科院仪器研制等科研项目多项。"
Concentration of quantum equilibration and an estimate of the recurrence time,Alvaro Alhambra Max Planck Institute for Quantum Optics,2022-07-20 20:00-2022-07-20 21:00,"Zoom meeting (ID: 829 4126 0071, password: 376291)",清华大学,https://iiis.tsinghua.edu.cn/show-9688-1.html,2022-07-20 20:00-2022-07-20 21:00,"The dynamics of large quantum systems is currently an active topic of research due to the great progress on experimental setups. These dynamics appear to often obey certain universal features, consistent with the principles of statistical mechanics. One of the more prominent ones is equilibration: despite the inherent unitarity and reversibility, the evolution appears to converge to a fixed equilibrium value for very long times, until Poincaré recurrences happen.
Here, we show that this equilibration happens in a more dramatic way than previously thought: we prove that the dynamics of generic quantum systems concentrate around their equilibrium value when measuring at arbitrary times. This means that the probability of finding them away from equilibrium is exponentially suppressed, with a decay rate given by the effective dimension, which is itself exponential in system size. Our result allows us to place a lower bound on the recurrence time of quantum systems, since recurrences corresponds to the rare events of finding a state away from equilibrium. In many-body systems, this bound is doubly exponential in system size. We also show corresponding results for free fermions, which display a weaker concentration and earlier recurrences.","Alvaro Alhambra is a postdoctoral researcher and Humboldt Fellow at Max Planck Institute for Quantum Optics. Previously, he was a postdoctoral researcher at Perimeter Institute for Theoretical Physics in Waterloo (Canada), where he arrived after finishing his PhD studies on quantum thermodynamics at University College London. His research lies at the interface of quantum information theory and quantum many-body physics, with a particular interest in the physics at finite temperature, both at equilibrium and away from it, and on how these can be described through classical and quantum algorithms."
Research on Implementable Design and Normalized Security Analysis of Quantum Secure Communication Protocols,"Zhangdong Ye department of the government at Yinzhou, Ningbo",2022-06-25 10:00-2022-06-25 11:30,"MMW S327 + Tencent Meeting (ID: 419-413-213, password: 1984)",清华大学,https://iiis.tsinghua.edu.cn/show-9651-1.html,2022-06-25 10:00-2022-06-25 11:30,"The research focus of quantum secure communication can be summarized into three main aspects: The first is to continue to construct more ingenious and practical communication protocols and improve their security analysis to break the existing transmission limits; the second is to connect theoretical analysis with the actual system, so that the established security analysis theory can be smoothly transitioned to the actual system; the third, continuing to promote the engineering and practical feasibility of quantum communication. The talk is positioned on the above three points and introduces the following innovative results. First of all, I am going to elaborate on a practical protocol, the basis-biased four-six-state protocol which has been experimentally demonstrated via an entanglement source by SPDC. It is theoretically and experimentally confirmed that the protocol can effectively resist the influence of the rotating channel. Thus, the problem of frequent calibration of the measurement frame of the BB84 protocol in free space could be solved. Secondly, a standardized security analysis framework based on the four-six state protocol demonstration experimental system is put forward. It transforms the practical security analysis problem into the operator processing problem. At the same time, it provides the solution model of the actual detector efficiencies during the communication and then embeds the desired detector efficiencies into the operators. In this framework, a principal value-matrix method is used to investigate the practical problems of the full Fock space to improve reliability. The analysis in the talk based on the practical system is the first work extending the security analysis numerical approach proposed by Norbert Lütkenhaus et al. to the practical system and more practical factors can continue to be included in this framework.","Zhangdong Ye got his bachelor’s degree of science (physics) in 2016 at ECNU, Shanghai and then was sent to Tsinghua University without entrance exams to continue his Ph.D. under Prof. Chunguang Du’s supervision in the Department of Physics. After obtaining his doctoral degree in 2021, he joins a department of the government at Yinzhou, Ningbo."
TensorCircuit: 量子软件框架与应用科研案例,张士欣 腾讯量子实验室,2022-06-22 19:15-2022-06-22 20:15,"Tencent Meeting (ID: 419-413-213, password: 1984)",清华大学,https://iiis.tsinghua.edu.cn/show-9648-1.html,2022-06-22 19:15-2022-06-22 20:15,近期量子计算领域的研究重心之一是展示在实际问题上的量子优势，这需要 NISQ 算法如变分量子算法、量子机器学习方法的设计，创新，分析和模拟。在这一报告中，我将简要介绍腾讯最新开源的自研量子线路和量子算法模拟框架 TensorCircuit。TensorCircuit 由纯 Python 编写，基于张量网络引擎，直接构建在成熟的机器学习框架 TensorFlow，JAX，PyTorch 之上，兼容自动微分、即时编译、向量并行化等先进的工程范式；具有简洁优雅的接口，灵活可扩展的架构，全面丰富的功能，相较其他软件数量级加速的性能和特定线路结构下上百个量子比特的模拟能力。此外，我将介绍 TensorCircuit 如何赋能具体的 NISQ 量子算法开发，特别是会详细讲解我们提出的量子-神经网络混合范式的工作，展示混合流水线在软件模拟层面和硬件实验层面不同的高效构建方式。该范式第一次实现了量子态非幺正后处理的指数加速，基态能量估计精度显著提升，且具有内禀抗噪声能力。,张士欣，腾讯量子实验室高级研究员。2021 年于清华大学高等研究院获得博士学位，导师是姚宏教授。2016 年于清华大学物理系获得学士学位。主要的研究兴趣包括量子算法设计，量子非平衡系统，量子软件研发，机器学习及其基础设施在量子物理中的应用等领域。
Quantum variantional learning for quantum error-correcting codes,曹晨风 香港科技大学,2022-06-08 19:15-2022-06-08 20:15,"Tencent Meeting (ID: 419-413-213, password: 1984）",清华大学,https://iiis.tsinghua.edu.cn/show-9636-1.html,2022-06-08 19:15-2022-06-08 20:15,"为了实现大规模容错量子计算，我们必须有探测和纠正噪声的手段——量子纠错。在过去的二十年里，人们构造了一系列不同的量子纠错码，但其中的绝大部分并不适用于近期量子设备。在这个报告里，我们介绍一个用于寻找量子纠错码的量子变分算法。给定目标量子噪声信道和硬件的连接方式，我们优化对应的量子变分线路，可以找到信道自适应的量子纠错码，而优化后的线路即为其编码线路。通过数值实验，我们找到了一系列参数已知的量子纠错码，如((5,2,3))_2, ((7,2,3))_2, ((10,4,4))_2, ((14,256,3))_2，还找到了一系列新的信道自适应的纠错码。我们的算法通过近期量子计算机寻找纠错码，反过来，这些纠错码也有望提高近期量子计算机的表现。","曹晨风，香港科技大学博士生，2019年本科毕业于中国科学院大学。研究兴趣为量子信息和量子计算，重点关注近期量子算法和量子纠错。有数篇工作发表于 Quantum Science & Technology, PR Applied/Research 等物理学期刊，多次在 AQIS 等量子计算会议做口头报告，长期担任 Quantum, PRX Quantum, QIP 等量子信息期刊和会议审稿人。"
后选择诱导的Hilbert空间的子空间中的量子效应研究,Xiaogang Li Tsinghua University,2022-04-20 19:15-2022-04-20 20:15,"MMW S327 + Tencent Meeting (ID: 419-413-213, password: 1984)",清华大学,https://iiis.tsinghua.edu.cn/show-9619-1.html,2022-04-20 19:15-2022-04-20 20:15,"过去三十几年来，人们逐渐发现了一些看起来“不太寻常”的新的“现象（效应）”，这些新现象逐步突破了人 们对量子力学的固有的认知，丰富了量子力学的内容。相关内容涉及“量子波粒叠加”、量 子（弱）测量、PT对称理论、线性酉算子叠加（LCU）等现象与理论。举例而言，传统量子力学认为，根据波尔的互补原理，物质应具有“波粒二象性”，但后来发现也可以观测到“波粒叠加”现象。此外，传统量子力学认为所有的物理可观测量，包括哈密顿量，都应是厄米算子，这一直以来被视为量子力学的一个基本假设，因为人们认为可观测量的测量值应是 实数，而厄米量的本征值谱正是实数。然而，随着量子力学的发展，人们发现厄米量与实 测量值相互之间，可能既非充分也非必要条件。因为通过后选择可以在希尔伯特空间的子 空间中诱导出新的测量值，即弱值与模值，它们通常都是复数。同时，人们发现有的非厄 米系统，如PT对称系统，也可能具有实本征值谱，而其动力学过程可由其扩张成的更高维 的厄米系统经后选择诱导而得。
透过纷繁复杂的新现象新理论，可以抓住它们共同的本质—后选择（postselection），并以此为视角，可以把它们融合进一 个统一的框架—后选择诱导的希尔伯特空间的子空间中的量子效应。据此也可以形成解决问题的新的思路与方法。",李小刚，清华大学物理系17级博，先后在西南民族大学，北京理工大学获得本硕学位，2017年就读于清华大学物理系，导师是龙桂鲁老师与高健存老师。目前主要研究方向是后选择诱导的量子效应，主要包括弱测量，开放量子系统，PT对称等。
Efficient bipartite entanglement detection scheme with a quantum adversarial solver,Xu-Fei Yin University of Science and Technology of China,2022-04-06 19:15-2022-04-06 20:15,"MMW S327 + Tencent Meeting (ID: 419-413-213, password: 1984)",清华大学,https://iiis.tsinghua.edu.cn/show-9613-1.html,2022-04-06 19:15-2022-04-06 20:15,"The recognition of entanglement states is a notoriously difficult problem when no prior information is available. Here, we propose an efficient quantum adversarial bipartite entanglement detection scheme to address this issue. Our proposal reformulates the bipartite entanglement detection as a two-player zero-sum game completed by parameterized quantum circuits, where a two-outcome measurement can be used to query a classical binary result about whether the input state is bipartite entangled or not. In principle, for an $N$-qubit quantum state, the runtime complexity of our proposal is $O(poly(N)T)$ with $T$ being the number of iterations. We experimentally implement our protocol on a linear optical network and exhibit its effectiveness to accomplish the bipartite entanglement detection for 5-qubit quantum pure states and 2-qubit quantum mixed states. Our work paves the way for using near-term quantum machines to tackle entanglement detection on multipartite entangled quantum systems.","Xu-Fei Yin is a PhD student in the research group led by Prof. Yu-Ao Chen, at University of Science and Technology of China. His research focus on quantum entanglement detection, efficient quantum algorithm and linear optical quantum system."
Schrödinger-Heisenberg Variational Quantum Algorithms,Zhongxia Shang University of Science and Technology of China,2022-03-30 19:15-2022-03-30 20:15,"MMW S327 + Tencent Meeting (ID: 419-413-213, password: 1984)",清华大学,https://iiis.tsinghua.edu.cn/show-9608-1.html,2022-03-30 19:15-2022-03-30 20:15,"Recent breakthroughs have opened the possibility to intermediate-scale quantum computing with tens to hundreds of qubits, and shown the potential for solving classical challenging problems, such as in chemistry and condensed matter physics. However, the extremely high accuracy needed to surpass classical computers poses a critical demand to the circuit depth, which is severely limited by the non-negligible gate infidelity, currently around 0.1-1%. Here, by incorporating a virtual Heisenberg circuit, which acts effectively on the measurement observables, to a real shallow Schrödinger circuit, which is implemented realistically on the quantum hardware, we propose a paradigm of Schrödinger-Heisenberg variational quantum algorithms to resolve this problem. We choose a Clifford virtual circuit, whose effect on the Hamiltonian can be efficiently and classically implemented according to the Gottesman-Knill theorem. Yet, it greatly enlarges the state expressivity, realizing much larger unitary t-designs. Our method enables accurate quantum simulation and computation that otherwise is only achievable with much deeper and more accurate circuits conventionally. This has been verified in our numerical experiments for a better approximation of random states and a higher-fidelity solution to the ground state energy of the XXZ model. Together with effective quantum error mitigation, our work paves the way for realizing accurate quantum computing algorithms with near-term quantum devices.","Zhongxia Shang is a PhD student in the research group led by Prof. Chaoyang Lu, at University of Science and Technology of China. His research focus on quantum algorithms and superconducting quantum computing."
