讲座标题,报告人,时间,地点,大学,通知全文链接,通知发布时间,通知内容,报告人简介
侧信道攻击与防护技术——从理论到实验,none,2015-05-27,3224教室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201505/t20150525_292680.html,none,侧信道攻击技术是目前密码芯片面临的最主要的安全威胁之一。报告主要介绍以下几部分内容：（1）常见侧信道攻击的基本思想和方法，近年来对商用密码产品实施侧信道攻击的案例；（2）能量分析攻击的具体方法，如简单能量攻击、相关能量攻击、碰撞攻击、模板攻击；（3）故障攻击的具体方法，如激光注入、电压毛刺注入、时钟毛刺注入；（4）针对侧信道攻击的防护技术，以及对防护技术的高级攻击技术；（5）实际智能卡能量分析演示实验。,王安，山东烟台人，理学博士，清华大学微电子学研究所博士后，助理研究员，主要研究方向为密码工程与侧信道攻防技术。2011年获山东大学信息安全专业博士学位，随后进入清华大学高等研究院、清华大学微电子学研究所从事博士后研究工作至今。作为负责人承担国家自然科学基金青年项目、“十二五”国家密码发展基金密码理论课题、信息保障技术重点实验室开放基金，并参与国家973重点项目、国家自然科学基金重点项目、国家科技重大专项“核高基”等五项国家级重点项目。曾两次获中国博士后科学基金资助（特等、一等各一项）。在IEEE Transactions on Circuits and Systems II、Mathematical and Computer Modelling等重要SCI期刊或会议上以第一作者或通讯作者身份发表SCI论文8篇、EI论文7篇。自2005年创办密码学学术网站“数缘社区”起，担任站长至今。
A Few Observations on How to Do Research: A Personal Perspective,"Kui Ren, PhD ,Associate Professor,State University of New York at Buffalo",2015-05-26,"Room 3224, BLDG 3, Institute of Information Engineering,CAS ",信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201505/t20150522_292558.html,none,"In this talk, he would like to speak about how to do research targeting at senior graduate students. The purpose is to illustrate how a total stranger of computer science like him can enter this fantastic research field and how he tries to make some marks for himself. The talk will be focused on his personal experiences, discussing the ups and downs, gains and losses, and most importantly the practical considerations of surviving in this tough academia world.","Kui Ren is an Associate Professor of Computer Science and Engineering and the director of UbiSeC Lab at State University of New York at Buffalo. He received his PhD degree from Worcester Polytechnic Institute. Kuis research interests include Cloud & Outsourcing Security, Wireless & Wearable System Security, and Human-centered Computing. His research has been supported by NSF, DoE, AFRL, MSR, and Amazon. He is a recipient of NSF CAREER Award in 2011 and Sigma Xi/IIT Research Excellence Award in 2012. Kui has published 135 peer-review journal and conference papers and received several Best Paper Awards including IEEE ICNP 2011. He currently serves as an associate editor for IEEE Transactions on Mobile Computing, IEEE Transactions on Information Forensics and Security, IEEE Wireless Communications, IEEE Internet of Things Journal, IEEE Transactions on Smart Grid, and Oxford The Computer Journal.  Kui is a Distinguished Lecturer and senior member of IEEE, a member of ACM, and a past board member of Internet Privacy Task Force, State of Illinois."
High-order Tensor Analysis for Groupwise Correspondence and its Applications in Computer Vision,"Haibin Ling，Associate Professor, Temple University",2015-05-21,中国科学院信息工程研究所3号楼（B2座）3224 室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201505/t20150519_292275.html,none,"Visual matching is a fundamental problem in computer vision (CV) and intensive research efforts have been devoted to building correspondence between a pair of visual objects. By contrast, finding correspondence among an ensemble of objects remains challenging. In this talk we will present a new unified framework for this problem and its application to computer vision and medical image. Specifically, we have established a close correlation between the classical multi-dimensional assignment (MDA) problem and low-rank tensor approximation. Such correlation paves a way of using high-order tensor analysis for groupwise visual matching that assumes an MDA formulation. Along the way, we developed a series of power-iteration algorithms and applied them to multiple target tracking (in the context of video surveillance) and deformable tracking (in the context of medical image analysis). I will also give an overview of research at my group.","Haibin Ling received the B.S. degree in mathematics and the MS degree in computer science from Peking University, China, in 1997 and 2000, respectively, and the PhD degree from the University of Maryland, College Park, in Computer Science in 2006. From 2000 to 2001, he was an assistant researcher at Microsoft Research Asia. From 2006 to 2007, he worked as a postdoctoral scientist at the University of California Los Angeles. After that, he joined Siemens Corporate Research as a research scientist. Since fall 2008, he has been with Temple University where he is now an Associate Professor in Computer and Information Sciences. Lings research interests include computer vision, medical image analysis, human computer interaction, and machine learning. He received the Best Student Paper Award at the ACM Symposium on User Interface Software and Technology (UIST) in 2003, and the NSF CAREER Award in 2014. He has served as an Area Chair of CVPR 2014 and as a Guest Co-Editor for the Pattern Recognition in 2014."
人类演化未解之谜——尼安德特人的消失,吴秀杰，中国科学院古脊椎动物与古人类研究所研究员，从事人类起源及演化的研究。,2015-01-15,中国科学院信息工程研究所3号楼3224会议室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201501/t20150107_275322.html,none,（1）什么是尼安德特人？ （2）尼安德特人为什么消失了？（3）尼安德特人的文化和基因遗存。（4）谁是尼安德特人的祖先？ （5）尼安德特人与我们的关系。,none
第十届信息安全与密码学国际会议通知,none,2014-12-13,北京友谊宾馆（北京市海淀区中关村南大街1号） ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201411/t20141128_270430.html,none,本次会议涉及网络与操作系统安全、数据库安全、无线网络安全、电子商务、信息隐藏、密码学、可证明安全、多方安全计算与安全协议、物联网安全和云计算安全等20多个主题，共收到了来自世界各地多个国家和地区的90余篇论文，经过程序委员会的严格挑选，会议共录用了30篇论文，正式论文集将在会后由国际著名出版社Springer Verlag出版。,none
Learning a Zonotope and More: Cryptanalysis of NTRUSign Countermeasures,"Prof. Phong Nguyen (INRIA, France and Tsinghua University, China)",2012-05-14,中国科学院信息工程研究所3号楼3221室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201406/t20140619_240666.html,none,"There is growing interest in lattice cryptography, but from a practical point of view, only one lattice signature scheme is competitive with standard signatures: NTRUSIGN, designed in 2003. The basic version of NTRUSIGN was broken by Nguyen and Regev in 2006: one can efficiently recover the secret key from about 400 signatures. However, countermeasures have been proposed to repair the scheme, such as the perturbation used in NTRUSIGN standardization proposals, and the deformation proposed by Hu et al. at IEEE Trans. Inform. Theory in 2008. These two countermeasures were claimed to prevent the NR attack. Surprisingly, we show that these two claims are incorrect by revisiting the NR gradient-descent attack: the attack is much more powerful than previously expected, and breaks both countermeasures in practice, after suitable optimization. More precisely, the Nguyen-Regev algorithm for learning a parallelepiped is heuristically able to learn more complex objects, such as zonotopes and deformed parallelepipeds. As a concrete application, we recover the NTRUSIGN secret key in a few hours, using 8,000 signatures for the original NTRUSIGN-251 scheme with one perturbation submitted to IEEE P1363 in 2003, or 6,000 signatures for the latest 80-bit- security parameter set proposed in 2010.","Phong Nguyen obtained his PhD in 1999, and has been a research director at INRIA since 2008, and a guest professor at Tsinghua University since Fall 2011. His main expertise is public-key cryptanalysis and algorithmic number theory, including lattice algorithms and their applications. He received the Best Paper Award at EUROCRYPT 06, the ERCIM Cor Baayen Award in 2001, and has published 18 articles at CRYPTO/EUROCRYPT. He is associate editor of the Journal of Cryptology and the Journal of Mathematical Cryptology, and regularly participates to the Program Committees of CRYPTO, EUROCRYPT and ASIACRYPT: he was invited speaker at EUROCRYPT 11, and will serve as program co-chair of EUROCRYPT 13 and EUROCRYPT 14."
云安全防护的战略思考,赵粮 博士,2012-06-13,中国科学院信息工程研究所3号楼3222室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201406/t20140619_240665.htmltp,none,云计算是近几年科研和产业领域最受关注的技术之一，而信息安全则是云计算技术的采纳和迁移中最为棘手的问题。云计算带来以下三方面的挑战：其一，云计算作为一种新技术带来的新漏洞和新型攻击；其二，现有信息安全产品如何部署，以便与云计算环境相互融合、保证效力提高效率；其三，如何充分利用云计算技术和思想来创新变革现有的安全防护技术和产品。这三个挑战是相互关联的，下一代安全思想可以帮助应对上述挑战。作为全球云安全领域的领导性组织，云安全联盟一直致力于一系列的大胆的研究项目的推进，包括云安全指南、云安全威胁、云控制矩阵等等。前不久，云安全联盟刚刚发布了云安全指南的第三版，其中增加了一个新的章节，专门阐述安全作为服务（Security-As-a-Service）方面的安全问题。云安全联盟的各种研究活动都是开放且免费的，欢迎学术界和工业界有共同兴趣的同仁支持加入。,赵粮，现任绿盟科技首席战略官，负责公司战略研究院的统筹管理。1997年从北京大学电子学系获得博士学位，长期从事网络安全和电信行业相关的研究、开发、策划、规划、沟通等工作。云安全联盟CSA的主要贡献者之一，云安全联盟中国分会的发起者和主要创始人之一。2002年获得CISSP证书，2003年获得ITIL认证证书，成为最早的将IT治理和安全管理结合方面进行探索的专家之一。赵粮博士在企业IT和安全架构、战略规划等方面具有丰富的经验，还积极参与并指导大量云计算安全、安全度量、安全智能与信誉、网络空间犯罪与立法等方面的若干国际项目，其国际视角和沟通能力使其成为国内安全业界在全球化方面的先驱之一。
"How to Retrieve Messages from Your Encrypted ""Sent"" Folder","Yuliang Zheng (University of North Carolina at Charlotte, USA)",2012-06-18,中国科学院信息工程研究所3号楼3301室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201406/t20140619_240664.html,none,"Alice has an important message to be sent to Bob. She can accomplish this by employing Bobs public key to encrypt the message into a ciphertext, followed by emailing Bob the ciphertext. After sending the encrypted message to Bob, Alices email system dutifully keeps an identical copy of the ciphertext in her ""Sent"" folder. Some time later Alice finds herself in a position where she needs to recover the message from the ciphertext, without access to Bobs decryption key. In this talk I will explain how the problem above can be solved by the use of public key encryption that allows backward recovery by the sender. I will also discuss techniques that convert traditional public key encryption to include backward recovery so that the security of resultant mechanisms can be formally proven.","Professor Yuliang Zheng is known as the father of the signcryption technology which is now an international standard for data security. His pioneering research into the application of one-way hash to immunizing public key encryption against adaptive attacks has been embodied in numerous international standards for public key cryptography, including those from ISO, IEEE and IETF. An internationally recognized authority in cryptography and network security, Professor Zheng has published over 200 scholarly articles and books on security and holds a multiple number of patents in cyber security. He plays an active, leadership role in international research communities, serving as the Chair of the Steering Committee of the Public Key Cryptography (PKC) conferences sponsored by the International Association for Cryptologic Research (IACR). In addition, he serves on the steering committees for a number of research and industrial forums including Information Security Conference (ISC), IEEE Information Assurance Standards Committee, and Workshop on Long-Term/Information-Theoretic Security."
Securing the neighborhood in smart grid systems,Fengjun Li,2012-06-14,4303（会议室） ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201406/t20140619_240662.html,none,"Envisioned as the next-generation approach for large-scale electricity delivery and management system, the smart grid has introduced computation and communication capabilities into traditional power grids to make them ""smart"" and ""connected"". Through the Advanced Metering Infrastructure (AMI), smart meters communicate with electrical appliances at households and the control centers at the utility companies to achieve smart power generation, distribution, pricing, and other advanced management functions. With all the advantages introduced by smart grids, security and privacy naturally become one of the critical concerns that people may have about the smart system.In this talk, I will introduce two projects on security and privacy protection on the household and neighborhood side of the smart grid system. First, I will present a data aggregation approach to securely and efficiently collect aggregated information from distributed smart meters in the wireless mesh based neighborhood area network (NAN). Homomorphic cryptosystems are employed to enable privacy-preserving in-network operations, which provide better efficiency and scalability without sacrificing security. Next, I will introduce S2A, a security protection solution for smart devices. S2A employs machine learning technologies to provide smart and flexible protection for smart household appliances. It integrates device security, usability and pricing factors to generate an optimal operational strategy, which ensures appliances security while providing good usability and economic efficiency.","Fengjun Li is an assistant professor of the Department of Electric Engineering and Computer Science at the University of Kansas. She holds a Ph.D. degree in Information Sciences and Technology from the Pennsylvania State University in 2010, an M.Phil from the Chinese University of Hong Kong in 2004, and a B.S. from the University of Science and Technology of China in 2001. She is currently a member of the Information Assurance Lab at the Information and Telecommunication Technology Center and her research interests span a wide range of security and privacy topics in distributed information systems, database systems, and communication networks. More recently, she is working on online social networks and smart grid systems."
Towards Wireless Building Management Systems: A Design Requiring No Change to the Upper-Layer Building Protocols,王丹博士，香港理工大学,2012-06-18,中国科学院信息工程研究所3号楼（B2座）3222室 ,信息安全国家重点实验室,http://sklois.iie.cas.cn/tzgg/tzgg_16520/201406/t20140619_240661.html,none,"There are many recent efforts in developing wireless or partially wireless Building Management Systems (BMS). A key difference from developing a brand new wireless sensor application, where one can design the system from scratch, is that there exist wired building management systems and there is a full set of upper layer protocols developed and standardized. Ongoing studies on wireless BMS usually develop smart sensor hardware and re-design protocols from bottom up. Such approach requires a long time for standardization and adoption.In this talk, we study from a new direction by proposing a general framework that converts existing wired sensor network into wireless without change of upper layer protocols and the existing hardware. The key ideas are an asynchronous-response framework to maintain the control plane of the upper layer protocol intact, and a modular design to prioritize and schedule data flows in case of link quality and throughput variation. Our design can become a supplement for existing studies towards developing wireless building management systems. We evaluate our system using both comprehensive simulations and experiments with real BMS hardware, software and protocols running on top. We made a field deployment by integrating our system into the BMS of the FG building of The Hong Kong Polytechnic University. The system operated smoothly during our five-hour deployment.","Dan Wang received the B.Sc degree from Peking University, Beijing, China, in 2000, the M.Sc degree from Case Western Reserve University, Cleveland, Ohio, USA, in 2004, and the Ph. D. degree from Simon Fraser University, Burnaby, B.C., Canada, in 2007; all in computer science. He is currently an assistant professor at the Department of Computing, The Hong Kong Polytechnic University. His research interests include wireless sensor networks, Internet routing and applications. He is a member of the IEEE."
